timestamp,container,cpu_percent,mem_used_b,mem_limit_b,mem_percent,net_rx_b,net_tx_b,blk_read_b,blk_write_b,pids
2025-09-09T21:37:30.5681899+09:00,spring-app,0.89,382205952,8173322764,4.68,40960,28058,0,75469,50
2025-09-09T21:37:30.5681899+09:00,my-postgres,0.00,173644186,8173322764,2.12,894435328,1535450808,120586240,4198,17
2025-09-09T21:37:35.8414845+09:00,spring-app,77.84,395418010,8173322764,4.84,110592,104448,0,75469,53
2025-09-09T21:37:35.8414845+09:00,my-postgres,1.78,175426765,8173322764,2.15,894435328,1535450808,120586240,4198,17
2025-09-09T21:37:40.3353993+09:00,spring-app,35.59,418906112,8173322764,5.13,189440,195584,0,75469,53
2025-09-09T21:37:40.3353993+09:00,my-postgres,1.67,175426765,8173322764,2.15,894435328,1535450808,120586240,4198,17
2025-09-09T21:37:45.3516116+09:00,spring-app,44.28,421422694,8173322764,5.16,242688,258048,0,75469,53
2025-09-09T21:37:45.3516116+09:00,my-postgres,1.38,175426765,8173322764,2.15,894435328,1535450808,120586240,4198,17
2025-09-09T21:37:50.1766110+09:00,spring-app,24.80,417857536,8173322764,5.11,324608,353280,0,92262,53
2025-09-09T21:37:50.1766110+09:00,my-postgres,1.33,175426765,8173322764,2.15,894435328,1535450808,120586240,4198,17
2025-09-09T21:37:55.2216872+09:00,spring-app,37.39,418906112,8173322764,5.12,393216,433152,0,92262,53
2025-09-09T21:37:55.2216872+09:00,my-postgres,9.49,175426765,8173322764,2.15,894435328,1535450808,120586240,4198,17
2025-09-09T21:37:59.6824273+09:00,spring-app,26.93,420269261,8173322764,5.14,453632,503808,0,92262,53
2025-09-09T21:37:59.6824273+09:00,my-postgres,1.63,175426765,8173322764,2.15,894435328,1535450808,120586240,4198,17
2025-09-09T21:38:04.7026808+09:00,spring-app,273.81,422156698,8173322764,5.17,633856,706560,0,104448,54
2025-09-09T21:38:04.7026808+09:00,my-postgres,17.13,175741338,8173322764,2.15,894435328,1535450808,120586240,4198,17
2025-09-09T21:38:09.5243312+09:00,spring-app,608.62,439353344,8173322764,5.38,1321206,1468006,0,104448,61
2025-09-09T21:38:09.5243312+09:00,my-postgres,37.51,179935642,8173322764,2.20,895483904,1535450808,120586240,4198,19
2025-09-09T21:38:14.6935790+09:00,spring-app,167.21,455186842,8173322764,5.57,2044723,2285896,0,104448,60
2025-09-09T21:38:14.6935790+09:00,my-postgres,14.63,180250214,8173322764,2.21,895483904,1535450808,120586240,4198,19
