timestamp,container,cpu_percent,mem_used_b,mem_limit_b,mem_percent,net_rx_b,net_tx_b,blk_read_b,blk_write_b,pids
2025-09-09T20:47:45.4571173+09:00,spring-app,0.37,446588518,8173322764,5.46,35021,23245,0,62874,50
2025-09-09T20:47:45.4571173+09:00,my-postgres,1.33,166618726,8173322764,2.04,460324864,886046720,120586240,4198,12
2025-09-09T20:47:50.5369693+09:00,spring-app,41.30,459171430,8173322764,5.62,134144,134144,0,79667,52
2025-09-09T20:47:50.5369693+09:00,my-postgres,3.21,169659597,8173322764,2.08,460324864,886046720,120586240,4198,14
2025-09-09T20:47:55.4710416+09:00,spring-app,65.17,469762048,8173322764,5.75,199680,210944,0,79667,52
2025-09-09T20:47:55.4710416+09:00,my-postgres,1.44,167247872,8173322764,2.05,460324864,886046720,120586240,4198,12
2025-09-09T20:48:00.4299243+09:00,spring-app,42.74,457913139,8173322764,5.60,251904,272384,0,79667,52
2025-09-09T20:48:00.4299243+09:00,my-postgres,1.28,167247872,8173322764,2.05,460324864,886046720,120586240,4198,12
2025-09-09T20:48:05.3831867+09:00,spring-app,47.27,468818330,8173322764,5.74,318464,350208,0,96461,52
2025-09-09T20:48:05.3831867+09:00,my-postgres,1.23,167352730,8173322764,2.05,460324864,886046720,120586240,4198,12
2025-09-09T20:48:10.3331484+09:00,spring-app,30.41,470600909,8173322764,5.76,386048,428032,0,96461,52
2025-09-09T20:48:10.3331484+09:00,my-postgres,1.46,167247872,8173322764,2.05,460324864,886046720,120586240,4198,12
2025-09-09T20:48:15.2600335+09:00,spring-app,14.86,471544627,8173322764,5.77,467968,523264,0,96461,52
2025-09-09T20:48:15.2600335+09:00,my-postgres,9.83,167352730,8173322764,2.05,460324864,886046720,120586240,4198,12
2025-09-09T20:48:20.4120764+09:00,spring-app,579.64,544210944,8173322764,6.66,1740636,1740636,0,108544,245
2025-09-09T20:48:20.4120764+09:00,my-postgres,40.69,176999629,8173322764,2.17,460324864,887095296,120586240,4198,17
2025-09-09T20:48:25.5542394+09:00,spring-app,630.16,696673894,8173322764,8.52,3523215,3628073,0,108544,247
2025-09-09T20:48:25.5542394+09:00,my-postgres,68.02,176999629,8173322764,2.17,461373440,889192448,120586240,4198,17
2025-09-09T20:48:30.7966709+09:00,spring-app,550.22,696883610,8173322764,8.53,7172260,7717519,0,108544,245
2025-09-09T20:48:30.7966709+09:00,my-postgres,65.90,176999629,8173322764,2.17,463470592,891289600,120586240,4198,17
2025-09-09T20:48:35.9464200+09:00,spring-app,546.80,701811917,8173322764,8.59,10443817,11429478,0,125952,246
2025-09-09T20:48:35.9464200+09:00,my-postgres,77.27,176999629,8173322764,2.17,465567744,894435328,120586240,4198,17
2025-09-09T20:48:41.2731728+09:00,spring-app,539.04,710305382,8173322764,8.69,14365491,15938355,0,125952,248
2025-09-09T20:48:41.2731728+09:00,my-postgres,78.83,176999629,8173322764,2.17,467664896,897581056,120586240,4198,17
2025-09-09T20:48:47.0976141+09:00,spring-app,453.99,717435699,8173322764,8.78,18559795,20761805,0,125952,246
2025-09-09T20:48:47.0976141+09:00,my-postgres,98.71,177314202,8173322764,2.17,470810624,900726784,120586240,4198,17
2025-09-09T20:48:52.5193126+09:00,spring-app,449.20,735366349,8173322764,9.00,24222106,27367834,0,142336,244
