timestamp,container,cpu_percent,mem_used_b,mem_limit_b,mem_percent,net_rx_b,net_tx_b,blk_read_b,blk_write_b,pids
2025-09-09T20:01:32.9743185+09:00,spring-app,0.64,426770432,8173322764,5.22,35021,23245,0,75469,50
2025-09-09T20:01:32.9743185+09:00,my-postgres,0.00,176789914,8173322764,2.16,258998272,349175808,120586240,4198,24
2025-09-09T20:01:38.1204920+09:00,spring-app,45.99,435578470,8173322764,5.33,121856,117760,0,75469,53
2025-09-09T20:01:38.1204920+09:00,my-postgres,1.74,179621069,8173322764,2.20,258998272,349175808,120586240,4198,25
2025-09-09T20:01:43.0266972+09:00,spring-app,26.20,438514483,8173322764,5.37,187392,195584,0,75469,52
2025-09-09T20:01:43.0266972+09:00,my-postgres,1.41,179621069,8173322764,2.20,258998272,349175808,120586240,4198,25
2025-09-09T20:01:47.9577843+09:00,spring-app,33.23,444281651,8173322764,5.44,254976,273408,0,75469,52
2025-09-09T20:01:47.9577843+09:00,my-postgres,1.24,179621069,8173322764,2.20,258998272,349175808,120586240,4198,25
2025-09-09T20:01:52.8843713+09:00,spring-app,40.55,446903091,8173322764,5.47,322560,352256,0,92262,52
2025-09-09T20:01:52.8843713+09:00,my-postgres,1.28,179621069,8173322764,2.20,258998272,349175808,120586240,4198,25
2025-09-09T20:01:57.7784056+09:00,spring-app,22.74,448475955,8173322764,5.49,404480,447488,0,92262,52
2025-09-09T20:01:57.7784056+09:00,my-postgres,1.40,179621069,8173322764,2.20,258998272,349175808,120586240,4198,25
2025-09-09T20:02:02.6758214+09:00,spring-app,21.30,449105101,8173322764,5.50,471040,525312,0,92262,52
2025-09-09T20:02:02.6758214+09:00,my-postgres,8.67,179621069,8173322764,2.20,258998272,349175808,120586240,4198,25
2025-09-09T20:02:07.6338730+09:00,spring-app,205.95,451831398,8173322764,5.53,720896,801792,0,104448,52
2025-09-09T20:02:07.6338730+09:00,my-postgres,20.42,179621069,8173322764,2.20,258998272,350224384,120586240,4198,25
2025-09-09T20:02:12.6596436+09:00,spring-app,107.22,480142950,8173322764,5.87,1593836,1772093,0,104448,52
2025-09-09T20:02:12.6596436+09:00,my-postgres,12.24,179621069,8173322764,2.20,260046848,350224384,120586240,4198,25
2025-09-09T20:02:17.6231155+09:00,spring-app,107.05,475109786,8173322764,5.81,2285896,2527068,0,104448,53
2025-09-09T20:02:17.6231155+09:00,my-postgres,9.98,179621069,8173322764,2.20,260046848,351272960,120586240,4198,25
2025-09-09T20:02:22.5526126+09:00,spring-app,90.16,475214643,8173322764,5.82,2820669,3114271,0,121856,52
