timestamp,container,cpu_percent,mem_used_b,mem_limit_b,mem_percent,net_rx_b,net_tx_b,blk_read_b,blk_write_b,pids
2025-09-11T01:52:03.2173495+09:00,spring-app,0.50,473432064,8173322764.288,5.79,45772.8,191488,612352,71270.4,63
2025-09-11T01:52:03.2173495+09:00,my-postgres,0.00,73064775.68,8173322764.288,0.89,148897792,224395264,1279262.72,8386.56,27
2025-09-11T01:52:03.2173495+09:00,my-redis,0.23,6938427.392,8173322764.288,0.08,7853834.24,99195289.6,12897484.8,0,5
2025-09-11T01:52:08.5070390+09:00,spring-app,65.70,515689676.8,8173322764.288,6.31,499712,850944,646144,71270.4,64
2025-09-11T01:52:08.5070390+09:00,my-postgres,9.02,79544975.36,8173322764.288,0.97,149946368,224395264,1279262.72,8386.56,28
2025-09-11T01:52:08.5070390+09:00,my-redis,0.20,6676283.392,8173322764.288,0.08,7853834.24,99300147.2,12897484.8,0,5
2025-09-11T01:52:13.5091698+09:00,spring-app,80.95,509817651.2,8173322764.288,6.24,842752,1342177.28,646144,71270.4,63
2025-09-11T01:52:13.5091698+09:00,my-postgres,6.63,79817605.12,8173322764.288,0.98,149946368,225443840,1279262.72,8386.56,28
2025-09-11T01:52:13.5091698+09:00,my-redis,0.16,6676283.392,8173322764.288,0.08,7853834.24,99300147.2,12897484.8,0,5
2025-09-11T01:52:18.4897217+09:00,spring-app,82.56,508035072,8173322764.288,6.22,1132462.08,1604321.28,646144,88064,63
2025-09-11T01:52:18.4897217+09:00,my-postgres,6.82,79870033.92,8173322764.288,0.98,149946368,225443840,1279262.72,8386.56,28
2025-09-11T01:52:18.4897217+09:00,my-redis,0.15,6676283.392,8173322764.288,0.08,7853834.24,99300147.2,12897484.8,0,5
2025-09-11T01:52:23.4498829+09:00,spring-app,42.13,516004249.6,8173322764.288,6.31,1541406.72,2264924.16,646144,88064,63
2025-09-11T01:52:23.4498829+09:00,my-postgres,9.16,79953920,8173322764.288,0.98,149946368,226492416,1279262.72,8386.56,28
2025-09-11T01:52:23.4498829+09:00,my-redis,0.15,6676283.392,8173322764.288,0.08,7853834.24,99300147.2,12897484.8,0,5
2025-09-11T01:52:28.3866732+09:00,spring-app,55.90,516318822.4,8173322764.288,6.32,1814036.48,2527068.16,646144,88064,63
2025-09-11T01:52:28.3866732+09:00,my-postgres,9.80,79932948.48,8173322764.288,0.98,150994944,226492416,1279262.72,8386.56,28
2025-09-11T01:52:28.3866732+09:00,my-redis,0.14,6680477.696,8173322764.288,0.08,7853834.24,99300147.2,12897484.8,0,5
2025-09-11T01:52:33.3790848+09:00,spring-app,46.54,518625689.6,8173322764.288,6.35,2243952.64,3072327.68,646144,88064,63
2025-09-11T01:52:33.3790848+09:00,my-postgres,14.17,80425779.2,8173322764.288,0.98,150994944,226492416,1279262.72,8386.56,28
