timestamp,container,cpu_percent,mem_used_b,mem_limit_b,mem_percent,net_rx_b,net_tx_b,blk_read_b,blk_write_b,pids
2025-09-09T16:41:22.1140158+09:00,spring-app,0.60,419535258,8173322764,5.13,47411,33894,0,92262,53
2025-09-09T16:41:22.1140158+09:00,my-postgres,0.07,190945690,8173322764,2.34,246415360,321912832,120586240,4198,34
2025-09-09T16:41:26.3972042+09:00,spring-app,31.01,437780480,8173322764,5.36,95539,102400,0,104448,53
2025-09-09T16:41:26.3972042+09:00,my-postgres,7.20,192099123,8173322764,2.35,246415360,321912832,120586240,4198,34
2025-09-09T16:41:31.3336754+09:00,spring-app,36.28,440611635,8173322764,5.39,132096,156672,0,104448,53
2025-09-09T16:41:31.3336754+09:00,my-postgres,7.13,192203981,8173322764,2.35,246415360,321912832,120586240,4198,34
2025-09-09T16:41:35.9103208+09:00,spring-app,19.17,442499072,8173322764,5.41,165888,205824,0,104448,53
2025-09-09T16:41:35.9103208+09:00,my-postgres,7.13,192308838,8173322764,2.35,246415360,321912832,120586240,4198,34
2025-09-09T16:41:40.8517068+09:00,spring-app,19.63,443442790,8173322764,5.43,193536,246784,0,121856,53
2025-09-09T16:41:40.8517068+09:00,my-postgres,7.34,192308838,8173322764,2.35,246415360,321912832,120586240,4198,34
2025-09-09T16:41:44.8150357+09:00,spring-app,19.68,445015654,8173322764,5.45,231424,302080,0,121856,53
2025-09-09T16:41:44.8150357+09:00,my-postgres,7.05,192308838,8173322764,2.35,247463936,321912832,120586240,4198,34
2025-09-09T16:41:49.7262838+09:00,spring-app,23.99,443547648,8173322764,5.43,267264,355328,0,121856,53
2025-09-09T16:41:49.7262838+09:00,my-postgres,7.41,192308838,8173322764,2.35,247463936,321912832,120586240,4198,34
2025-09-09T16:41:54.6828180+09:00,spring-app,17.67,444176794,8173322764,5.43,294912,395264,0,134144,53
2025-09-09T16:41:54.6828180+09:00,my-postgres,107.38,200278016,8173322764,2.45,247463936,321912832,120586240,4198,35
2025-09-09T16:41:59.6786160+09:00,spring-app,229.72,501009613,8173322764,6.13,1688207,1887437,0,134144,61
2025-09-09T16:41:59.6786160+09:00,my-postgres,67.39,204577178,8173322764,2.50,247463936,322961408,120586240,4198,35
2025-09-09T16:42:04.6771415+09:00,spring-app,204.86,505099059,8173322764,6.18,2810184,3114271,0,134144,59
2025-09-09T16:42:04.6771415+09:00,my-postgres,68.85,205206323,8173322764,2.51,247463936,324009984,120586240,4198,35
2025-09-09T16:42:09.6028917+09:00,spring-app,101.61,503001907,8173322764,6.15,3911188,4320133,0,134144,59
2025-09-09T16:42:09.6028917+09:00,my-postgres,54.96,207093760,8173322764,2.53,248512512,325058560,120586240,4198,36
2025-09-09T16:42:14.5825890+09:00,spring-app,84.03,511705088,8173322764,6.26,5022679,5536481,0,150528,58
2025-09-09T16:42:14.5825890+09:00,my-postgres,57.85,207303475,8173322764,2.54,248512512,326107136,120586240,4198,36
2025-09-09T16:42:19.5802434+09:00,spring-app,107.23,518101402,8173322764,6.34,6113198,6731858,0,150528,58
2025-09-09T16:42:19.5802434+09:00,my-postgres,60.21,207722906,8173322764,2.54,248512512,327155712,120586240,4198,36
2025-09-09T16:42:24.5330777+09:00,spring-app,74.02,512019661,8173322764,6.27,7203717,7937720,0,150528,58
2025-09-09T16:42:24.5330777+09:00,my-postgres,51.27,207513190,8173322764,2.54,249561088,328204288,120586240,4198,36
2025-09-09T16:42:29.4707692+09:00,spring-app,68.46,516213965,8173322764,6.32,8336179,9175040,0,167936,58
2025-09-09T16:42:29.4707692+09:00,my-postgres,52.47,207618048,8173322764,2.54,249561088,329252864,120586240,4198,36
2025-09-09T16:42:34.4523758+09:00,spring-app,161.05,516947968,8173322764,6.33,9405727,10359931,0,167936,58
2025-09-09T16:42:34.4523758+09:00,my-postgres,75.91,207722906,8173322764,2.54,250609664,330301440,120586240,4198,36
2025-09-09T16:42:39.4085837+09:00,spring-app,100.10,517786829,8173322764,6.34,10485760,11534336,0,167936,58
2025-09-09T16:42:39.4085837+09:00,my-postgres,57.56,208037478,8173322764,2.55,250609664,330301440,120586240,4198,36
2025-09-09T16:42:44.3931224+09:00,spring-app,89.38,514011955,8173322764,6.29,11534336,12792627,0,180224,58
2025-09-09T16:42:44.3931224+09:00,my-postgres,69.15,208142336,8173322764,2.55,250609664,331350016,120586240,4198,36
2025-09-09T16:42:49.3544069+09:00,spring-app,92.70,520513126,8173322764,6.37,12478054,13736346,0,180224,58
2025-09-09T16:42:49.3544069+09:00,my-postgres,51.55,207827763,8173322764,2.54,251658240,332398592,120586240,4198,36
2025-09-09T16:42:54.3214619+09:00,spring-app,147.67,521037414,8173322764,6.38,13841203,15204352,0,180224,59
2025-09-09T16:42:54.3214619+09:00,my-postgres,60.30,207932621,8173322764,2.54,251658240,333447168,120586240,4198,36
2025-09-09T16:42:59.2884518+09:00,spring-app,95.89,527224013,8173322764,6.45,14680064,16148070,0,180224,58
2025-09-09T16:42:59.2884518+09:00,my-postgres,59.78,208037478,8173322764,2.55,251658240,334495744,120586240,4198,36
2025-09-09T16:43:04.2775757+09:00,spring-app,99.09,527958016,8173322764,6.46,15833498,17406362,0,197632,58
2025-09-09T16:43:04.2775757+09:00,my-postgres,69.10,208247194,8173322764,2.55,252706816,335544320,120586240,4198,36
2025-09-09T16:43:09.2165505+09:00,spring-app,41.99,540016640,8173322764,6.61,17091789,18874368,0,197632,58
2025-09-09T16:43:09.2165505+09:00,my-postgres,53.15,208247194,8173322764,2.55,252706816,336592896,120586240,4198,36
2025-09-09T16:43:14.1917468+09:00,spring-app,78.83,540226355,8173322764,6.61,18245222,20027802,0,197632,58
2025-09-09T16:43:14.1917468+09:00,my-postgres,52.66,208142336,8173322764,2.55,252706816,337641472,120586240,4198,36
2025-09-09T16:43:19.1419931+09:00,spring-app,50.34,540436070,8173322764,6.61,19398656,21286093,0,214016,58
2025-09-09T16:43:19.1419931+09:00,my-postgres,49.86,208352051,8173322764,2.55,253755392,338690048,120586240,4198,36
2025-09-09T16:43:24.0964620+09:00,spring-app,42.28,540855501,8173322764,6.62,20447232,22439526,0,214016,58
