timestamp,container,cpu_percent,mem_used_b,mem_limit_b,mem_percent,net_rx_b,net_tx_b,blk_read_b,blk_write_b,pids
2025-09-08T16:59:56.6420620+09:00,spring-app,16.41,467245466,8173322764,5.72,41779,34304,0,117760,53
2025-09-08T16:59:56.6420620+09:00,my-postgres,6.66,90471137,8173322764,1.11,204472320,630194176,16794,4198,22
2025-09-08T17:00:01.4165915+09:00,spring-app,44.16,511705088,8173322764,6.26,92774,108544,0,117760,53
2025-09-08T17:00:01.4165915+09:00,my-postgres,6.12,91677000,8173322764,1.12,204472320,630194176,16794,4198,22
2025-09-08T17:00:06.2235594+09:00,spring-app,31.45,506776781,8173322764,6.20,131072,166912,0,117760,53
2025-09-08T17:00:06.2235594+09:00,my-postgres,9.50,91802829,8173322764,1.12,204472320,631242752,16794,4198,22
2025-09-08T17:00:11.0215573+09:00,spring-app,28.67,509083648,8173322764,6.23,171008,224256,0,134144,53
2025-09-08T17:00:11.0215573+09:00,my-postgres,8.47,91802829,8173322764,1.12,204472320,631242752,16794,4198,22
2025-09-08T17:00:15.8235484+09:00,spring-app,29.64,510551654,8173322764,6.25,209920,281600,0,134144,53
2025-09-08T17:00:15.8235484+09:00,my-postgres,14.64,91802829,8173322764,1.12,204472320,631242752,16794,4198,22
2025-09-08T17:00:20.8242778+09:00,spring-app,28.11,511705088,8173322764,6.26,248832,339968,0,134144,53
2025-09-08T17:00:20.8242778+09:00,my-postgres,18.38,91802829,8173322764,1.12,204472320,631242752,16794,4198,22
2025-09-08T17:00:25.8770598+09:00,spring-app,21.04,513697382,8173322764,6.29,286720,395264,0,134144,53
2025-09-08T17:00:25.8770598+09:00,my-postgres,14.86,92169830,8173322764,1.13,204472320,631242752,16794,4198,23
2025-09-08T17:00:31.3063120+09:00,spring-app,187.86,551446118,8173322764,6.75,1478492,1677722,0,146432,54
2025-09-08T17:00:31.3063120+09:00,my-postgres,55.46,97611940,8173322764,1.19,205520896,632291328,16794,4198,22
2025-09-08T17:00:36.4342947+09:00,spring-app,116.81,553228698,8173322764,6.77,2673869,2998927,0,146432,53
2025-09-08T17:00:36.4342947+09:00,my-postgres,54.73,98209628,8173322764,1.20,205520896,633339904,16794,4198,22
2025-09-08T17:00:41.6166215+09:00,spring-app,121.39,554486989,8173322764,6.78,3890217,4351590,0,163840,54
2025-09-08T17:00:41.6166215+09:00,my-postgres,56.72,101544100,8173322764,1.24,206569472,634388480,16794,4198,24
2025-09-08T17:00:46.6207627+09:00,spring-app,113.64,555640422,8173322764,6.80,5075108,5651825,0,163840,53
2025-09-08T17:00:46.6207627+09:00,my-postgres,54.26,101732844,8173322764,1.24,206569472,635437056,16794,4198,24
2025-09-08T17:00:51.5960810+09:00,spring-app,96.03,555850138,8173322764,6.80,6239027,6931087,0,163840,53
2025-09-08T17:00:51.5960810+09:00,my-postgres,55.40,101869158,8173322764,1.25,206569472,636485632,16794,4198,24
2025-09-08T17:00:56.6969587+09:00,spring-app,71.72,556164710,8173322764,6.81,7371489,8178893,0,163840,52
2025-09-08T17:00:56.6969587+09:00,my-postgres,52.31,101921587,8173322764,1.25,207618048,637534208,16794,4198,24
2025-09-08T17:01:01.9713673+09:00,spring-app,57.41,556898714,8173322764,6.81,8535409,9447670,0,180224,52
2025-09-08T17:01:01.9713673+09:00,my-postgres,49.75,102236160,8173322764,1.25,207618048,638582784,16794,4198,24
2025-09-08T17:01:07.0394032+09:00,spring-app,133.94,557632717,8173322764,6.82,9730785,10800333,0,180224,52
2025-09-08T17:01:07.0394032+09:00,my-postgres,58.68,102026445,8173322764,1.25,207618048,639631360,16794,4198,24
2025-09-08T17:01:11.5760955+09:00,spring-app,108.58,562036736,8173322764,6.88,10800333,11953766,0,180224,52
2025-09-08T17:01:11.5760955+09:00,my-postgres,56.48,105277030,8173322764,1.29,208666624,640679936,16794,4198,25
2025-09-08T17:01:16.5998526+09:00,spring-app,106.31,562665882,8173322764,6.88,12058624,13316915,0,192512,52
2025-09-08T17:01:16.5998526+09:00,my-postgres,54.43,105172173,8173322764,1.29,208666624,641728512,16794,4198,25
2025-09-08T17:01:21.6861720+09:00,spring-app,123.02,563924173,8173322764,6.90,13212058,14575206,0,192512,53
2025-09-08T17:01:21.6861720+09:00,my-postgres,66.30,105381888,8173322764,1.29,209715200,642777088,16794,4198,25
2025-09-08T17:01:26.7518673+09:00,spring-app,121.75,565182464,8173322764,6.92,14365491,15938355,0,192512,52
2025-09-08T17:01:26.7518673+09:00,my-postgres,53.70,105277030,8173322764,1.29,209715200,643825664,16794,4198,25
2025-09-08T17:01:31.8519991+09:00,spring-app,117.61,566021325,8173322764,6.93,15518925,17091789,0,209920,53
2025-09-08T17:01:31.8519991+09:00,my-postgres,57.55,105591603,8173322764,1.29,209715200,644874240,16794,4198,25
2025-09-08T17:01:36.7668797+09:00,spring-app,56.62,566231040,8173322764,6.93,16672358,18350080,0,209920,52
2025-09-08T17:01:36.7668797+09:00,my-postgres,61.88,105591603,8173322764,1.29,210763776,645922816,16794,4198,25
2025-09-08T17:01:41.7519919+09:00,spring-app,58.19,566650470,8173322764,6.93,17825792,19713229,0,209920,52
2025-09-08T17:01:41.7519919+09:00,my-postgres,58.73,105381888,8173322764,1.29,210763776,646971392,16794,4198,25
2025-09-08T17:01:46.6754297+09:00,spring-app,45.96,566231040,8173322764,6.93,18979226,20971520,0,226304,52
2025-09-08T17:01:46.6754297+09:00,my-postgres,58.26,105381888,8173322764,1.29,210763776,648019968,16794,4198,25
2025-09-08T17:01:51.8906800+09:00,spring-app,88.88,566965043,8173322764,6.94,20132659,22229811,0,226304,52
2025-09-08T17:01:51.8906800+09:00,my-postgres,78.57,105486746,8173322764,1.29,211812352,649068544,16794,4198,25
2025-09-08T17:01:57.0581602+09:00,spring-app,37.96,566545613,8173322764,6.93,21286093,23488102,0,226304,52
2025-09-08T17:01:57.0581602+09:00,my-postgres,55.82,105486746,8173322764,1.29,211812352,650117120,16794,4198,25
2025-09-08T17:02:01.7626089+09:00,spring-app,49.01,566755328,8173322764,6.93,22334669,24641536,0,238592,52
2025-09-08T17:02:01.7626089+09:00,my-postgres,64.88,105486746,8173322764,1.29,211812352,651165696,16794,4198,25
2025-09-08T17:02:06.6548392+09:00,spring-app,41.74,566860186,8173322764,6.94,23383245,25794970,0,238592,52
