timestamp,container,cpu_percent,mem_used_b,mem_limit_b,mem_percent,net_rx_b,net_tx_b,blk_read_b,blk_write_b,pids
2025-09-10T13:00:30.9144323+09:00,spring-app,0.49,416599245,8173322764,5.10,33587,22426,0,33587,50
2025-09-10T13:00:30.9144323+09:00,my-postgres,0.01,64246252,8173322764,0.79,265289728,378535936,39950746,4198,11
2025-09-10T13:00:35.7939454+09:00,spring-app,41.26,456654848,8173322764,5.59,118784,114688,0,54477,53
2025-09-10T13:00:35.7939454+09:00,my-postgres,1.55,67045949,8173322764,0.82,265289728,378535936,39950746,4198,12
2025-09-10T13:00:40.5218460+09:00,spring-app,28.97,443233075,8173322764,5.42,207872,216064,0,54477,52
2025-09-10T13:00:40.5218460+09:00,my-postgres,1.58,67035464,8173322764,0.82,265289728,378535936,39950746,4198,12
2025-09-10T13:00:44.5551083+09:00,spring-app,26.21,445539942,8173322764,5.45,269312,285696,0,71270,52
2025-09-10T13:00:44.5551083+09:00,my-postgres,6.21,67035464,8173322764,0.82,265289728,378535936,39950746,4198,12
2025-09-10T13:00:49.2477057+09:00,spring-app,37.02,462422016,8173322764,5.66,326656,351232,0,71270,52
2025-09-10T13:00:49.2477057+09:00,my-postgres,5.73,67035464,8173322764,0.82,265289728,378535936,39950746,4198,12
2025-09-10T13:00:53.3724710+09:00,spring-app,28.31,463890022,8173322764,5.68,404480,441344,0,71270,52
2025-09-10T13:00:53.3724710+09:00,my-postgres,1.28,67045949,8173322764,0.82,265289728,378535936,39950746,4198,12
2025-09-10T13:00:58.0641397+09:00,spring-app,15.56,455815987,8173322764,5.58,462848,505856,0,71270,52
2025-09-10T13:00:58.0641397+09:00,my-postgres,1.36,67035464,8173322764,0.82,265289728,378535936,39950746,4198,12
2025-09-10T13:01:03.0968481+09:00,spring-app,530.19,552599552,8173322764,6.76,1803551,1793065,0,83866,245
2025-09-10T13:01:03.0968481+09:00,my-postgres,33.64,74847355,8173322764,0.92,266338304,379584512,39950746,4198,16
2025-09-10T13:01:07.9887722+09:00,spring-app,538.82,665531187,8173322764,8.14,3900703,4005560,0,83866,247
2025-09-10T13:01:07.9887722+09:00,my-postgres,47.25,74847355,8173322764,0.92,267386880,381681664,39950746,4198,16
2025-09-10T13:01:12.7887264+09:00,spring-app,532.79,663643750,8173322764,8.12,8619295,9290383,0,83866,245
2025-09-10T13:01:12.7887264+09:00,my-postgres,58.24,74847355,8173322764,0.92,270532608,384827392,39950746,4198,16
2025-09-10T13:01:17.5785903+09:00,spring-app,512.00,674444083,8173322764,8.25,13526630,14889779,0,100659,245
2025-09-10T13:01:17.5785903+09:00,my-postgres,62.13,74836869,8173322764,0.92,272629760,389021696,39950746,4198,16
2025-09-10T13:01:22.3949431+09:00,spring-app,481.52,679686963,8173322764,8.32,18664653,20656947,0,100659,246
2025-09-10T13:01:22.3949431+09:00,my-postgres,62.48,74836869,8173322764,0.92,275775488,393216000,39950746,4198,16
2025-09-10T13:01:27.1950165+09:00,spring-app,391.92,684824986,8173322764,8.38,24746394,27787264,0,100659,244
2025-09-10T13:01:27.1950165+09:00,my-postgres,106.11,74836869,8173322764,0.92,281018368,399507456,39950746,4198,16
2025-09-10T13:01:32.0104155+09:00,spring-app,370.50,732115763,8173322764,8.96,34288435,38797312,0,117760,244
2025-09-10T13:01:32.0104155+09:00,my-postgres,98.32,74847355,8173322764,0.92,285212672,406847488,39950746,4198,16
2025-09-10T13:01:36.8088144+09:00,spring-app,375.02,732220621,8173322764,8.96,40055603,45508198,0,117760,244
2025-09-10T13:01:36.8088144+09:00,my-postgres,92.87,74826383,8173322764,0.92,289406976,412090368,39950746,4198,16
2025-09-10T13:01:41.7072589+09:00,spring-app,349.59,734527488,8173322764,8.99,48024781,54421094,0,117760,244
2025-09-10T13:01:41.7072589+09:00,my-postgres,101.58,74836869,8173322764,0.92,293601280,418381824,39950746,4198,16
2025-09-10T13:01:46.5243397+09:00,spring-app,300.69,733059482,8173322764,8.97,55993958,63543706,0,130048,244
2025-09-10T13:01:46.5243397+09:00,my-postgres,97.80,75088527,8173322764,0.92,297795584,424673280,39950746,4198,16
2025-09-10T13:01:51.3332420+09:00,spring-app,302.19,733478912,8173322764,8.97,63124275,71512883,0,130048,244
2025-09-10T13:01:51.3332420+09:00,my-postgres,99.52,74847355,8173322764,0.92,301989888,430964736,39950746,4198,16
2025-09-10T13:01:55.3934576+09:00,spring-app,299.95,733269197,8173322764,8.97,69206016,78223770,0,130048,244
2025-09-10T13:01:55.3934576+09:00,my-postgres,88.47,75099013,8173322764,0.92,306184192,436207616,39950746,4198,16
2025-09-10T13:02:00.1740914+09:00,spring-app,345.13,733898342,8173322764,8.98,76336333,86088090,0,142336,244
2025-09-10T13:02:00.1740914+09:00,my-postgres,92.77,74836869,8173322764,0.92,310378496,441450496,39950746,4198,16
2025-09-10T13:02:04.7318651+09:00,spring-app,344.42,734003200,8173322764,8.98,83152077,93742694,0,142336,244
2025-09-10T13:02:04.7318651+09:00,my-postgres,99.75,75099013,8173322764,0.92,314572800,447741952,39950746,4198,16
2025-09-10T13:02:09.5206085+09:00,spring-app,310.86,734212915,8173322764,8.98,88709530,99929293,0,142336,244
2025-09-10T13:02:09.5206085+09:00,my-postgres,93.40,74836869,8173322764,0.92,318767104,452984832,39950746,4198,16
2025-09-10T13:02:13.5866180+09:00,spring-app,330.22,733583770,8173322764,8.98,96259277,108003328,0,142336,244
2025-09-10T13:02:13.5866180+09:00,my-postgres,91.78,75099013,8173322764,0.92,321912832,458227712,39950746,4198,16
2025-09-10T13:02:18.3777522+09:00,spring-app,328.26,733793485,8173322764,8.98,101921587,114294784,0,155648,244
2025-09-10T13:02:18.3777522+09:00,my-postgres,89.69,74847355,8173322764,0.92,326107136,464519168,39950746,4198,16
2025-09-10T13:02:23.1631654+09:00,spring-app,335.40,733688627,8173322764,8.98,109051904,122683392,0,155648,244
2025-09-10T13:02:23.1631654+09:00,my-postgres,96.50,74847355,8173322764,0.92,330301440,470810624,39950746,4198,16
2025-09-10T13:02:28.0141306+09:00,spring-app,320.16,734003200,8173322764,8.98,117440512,132120576,0,155648,244
2025-09-10T13:02:28.0141306+09:00,my-postgres,103.51,74826383,8173322764,0.92,334495744,476053504,39950746,4198,16
2025-09-10T13:02:32.8286119+09:00,spring-app,326.36,734317773,8173322764,8.98,124780544,140509184,0,167936,244
2025-09-10T13:02:32.8286119+09:00,my-postgres,106.62,77384909,8173322764,0.95,338690048,482344960,39950746,4198,19
2025-09-10T13:02:37.6777751+09:00,spring-app,322.83,734422630,8173322764,8.99,132120576,147849216,0,167936,244
2025-09-10T13:02:37.6777751+09:00,my-postgres,95.58,74836869,8173322764,0.92,342884352,488636416,39950746,4198,16
2025-09-10T13:02:42.4897800+09:00,spring-app,306.65,734108058,8173322764,8.98,139460608,156237824,0,167936,244
2025-09-10T13:02:42.4897800+09:00,my-postgres,91.22,74847355,8173322764,0.92,347078656,494927872,39950746,4198,16
2025-09-10T13:02:47.2888646+09:00,spring-app,295.47,734422630,8173322764,8.99,146800640,163577856,0,180224,244
2025-09-10T13:02:47.2888646+09:00,my-postgres,88.79,74847355,8173322764,0.92,351272960,499122176,39950746,4198,16
2025-09-10T13:02:52.0985883+09:00,spring-app,305.35,733898342,8173322764,8.98,154140672,171966464,0,180224,244
2025-09-10T13:02:52.0985883+09:00,my-postgres,92.44,74847355,8173322764,0.92,355467264,506462208,39950746,4198,16
2025-09-10T13:02:56.8928497+09:00,spring-app,283.96,734003200,8173322764,8.98,160432128,179306496,0,180224,244
2025-09-10T13:02:56.8928497+09:00,my-postgres,84.68,74826383,8173322764,0.92,359661568,512753664,39950746,4198,16
2025-09-10T13:03:01.6878164+09:00,spring-app,322.66,734527488,8173322764,8.99,166723584,185597952,0,192512,244
