timestamp,container,cpu_percent,mem_used_b,mem_limit_b,mem_percent,net_rx_b,net_tx_b,blk_read_b,blk_write_b,pids
2025-09-10T01:43:19.7336651+09:00,spring-app,26.94,434110464,8173322764,5.31,34406,23040,0,54477,51
2025-09-10T01:43:19.7336651+09:00,my-postgres,0.03,176475341,8173322764,2.16,1610612736,2491081032,123731968,4198,13
2025-09-10T01:43:24.6619003+09:00,spring-app,42.17,444910797,8173322764,5.44,122880,120832,0,54477,52
2025-09-10T01:43:24.6619003+09:00,my-postgres,8.12,178153062,8173322764,2.18,1610612736,2491081032,123731968,4198,13
2025-09-10T01:43:29.3656497+09:00,spring-app,22.54,447322522,8173322764,5.47,210944,221184,0,54477,52
2025-09-10T01:43:29.3656497+09:00,my-postgres,1.22,177733632,8173322764,2.17,1610612736,2491081032,123731968,4198,13
2025-09-10T01:43:33.4292510+09:00,spring-app,20.64,449419674,8173322764,5.50,271360,291840,0,71270,52
2025-09-10T01:43:33.4292510+09:00,my-postgres,1.28,177733632,8173322764,2.17,1610612736,2491081032,123731968,4198,13
2025-09-10T01:43:38.1160644+09:00,spring-app,22.52,461478298,8173322764,5.65,346112,376832,0,71270,52
2025-09-10T01:43:38.1160644+09:00,my-postgres,1.28,177943347,8173322764,2.18,1610612736,2491081032,123731968,4198,13
2025-09-10T01:43:42.6480131+09:00,spring-app,27.84,452565402,8173322764,5.54,414720,455680,0,71270,52
2025-09-10T01:43:42.6480131+09:00,my-postgres,1.19,177733632,8173322764,2.17,1610612736,2491081032,123731968,4198,13
2025-09-10T01:43:47.3443142+09:00,spring-app,18.03,453928550,8173322764,5.55,471040,521216,0,71270,52
2025-09-10T01:43:47.3443142+09:00,my-postgres,1.19,177733632,8173322764,2.17,1610612736,2491081032,123731968,4198,13
2025-09-10T01:43:51.7711495+09:00,spring-app,170.17,475948646,8173322764,5.82,999424,1132462,0,83866,52
2025-09-10T01:43:51.7711495+09:00,my-postgres,11.33,177733632,8173322764,2.17,1610612736,2491081032,123731968,4198,13
2025-09-10T01:43:56.5298667+09:00,spring-app,111.33,504365056,8173322764,6.17,1761608,1950351,0,83866,52
2025-09-10T01:43:56.5298667+09:00,my-postgres,11.52,177733632,8173322764,2.17,1621350154,2491081032,123731968,4198,13
2025-09-10T01:44:01.2696394+09:00,spring-app,137.90,497654170,8173322764,6.09,2495611,2747269,0,83866,53
2025-09-10T01:44:01.2696394+09:00,my-postgres,21.94,177733632,8173322764,2.17,1621350154,2491081032,123731968,4198,13
2025-09-10T01:44:05.9641221+09:00,spring-app,63.28,491257856,8173322764,6.01,3240100,3565158,0,100659,52
2025-09-10T01:44:05.9641221+09:00,my-postgres,14.96,178048205,8173322764,2.18,1621350154,2491081032,123731968,4198,13
2025-09-10T01:44:10.6904764+09:00,spring-app,52.23,491257856,8173322764,6.01,3827302,4204790,0,100659,52
2025-09-10T01:44:10.6904764+09:00,my-postgres,10.28,177733632,8173322764,2.17,1621350154,2491081032,123731968,4198,13
